Date,Open,High,Low,Close,Adj Close,Volume
2025-05-19,201.65,206.62,201.26,206.16,206.16,34314800.00
2025-05-20,204.63,205.59,202.65,204.07,204.07,29470400.00
2025-05-21,201.61,203.46,200.06,201.12,201.12,42460900.00
2025-05-22,201.38,205.76,200.16,203.10,203.10,38938900.00
2025-05-23,198.90,202.37,197.85,200.99,200.99,33393500.00
2025-05-27,203.09,206.69,202.19,206.02,206.02,34892000.00
2025-05-28,205.92,207.66,204.41,204.72,204.72,28549800.00
2025-05-29,208.03,208.81,204.23,205.70,205.70,34650000.00
2025-05-30,204.84,205.99,201.70,205.01,205.01,51679400.00
2025-06-02,204.98,207.00,202.68,206.65,206.65,29113300.00
2025-06-03,207.11,208.95,205.03,205.71,205.71,33139100.00
2025-06-04,206.55,208.18,205.18,207.23,207.23,29915600.00
2025-06-05,209.55,212.81,207.56,207.91,207.91,51864200.00
2025-06-06,212.40,213.87,210.50,213.57,213.57,39832500.00
2025-06-09,214.75,217.85,212.88,216.98,216.98,38102500.00
2025-06-10,216.78,217.69,214.15,217.61,217.61,31303300.00
2025-06-11,217.41,218.40,212.89,213.20,213.20,39326000.00
2025-06-12,211.78,213.58,211.33,213.24,213.24,27640000.00
2025-06-13,209.96,214.05,209.62,212.10,212.10,29337800.00
2025-06-16,212.31,217.06,211.60,216.10,216.10,33284200.00
2025-06-17,215.20,217.41,214.56,214.82,214.82,32086300.00
2025-06-18,215.09,217.96,212.34,212.52,212.52,44360500.00
2025-06-20,214.68,214.89,208.27,209.69,209.69,75350700.00
2025-06-23,209.79,210.39,207.31,208.47,208.47,37311700.00
2025-06-24,212.14,214.34,211.05,212.77,212.77,38378800.00
2025-06-25,214.62,216.03,211.11,211.99,211.99,31755700.00
2025-06-26,213.12,218.04,212.01,217.12,217.12,50480800.00
2025-06-27,219.92,223.30,216.74,223.30,223.30,119217100.00
2025-06-30,223.52,223.82,219.12,219.39,219.39,58887800.00
2025-07-01,219.50,221.88,217.93,220.46,220.46,39256800.00
2025-07-02,219.73,221.60,219.06,219.92,219.92,30894200.00
2025-07-03,221.82,224.01,221.36,223.41,223.41,29632400.00
2025-07-07,223.00,224.29,222.37,223.47,223.47,36604100.00
2025-07-08,223.92,224.00,218.43,219.36,219.36,45692000.00
2025-07-09,221.07,224.29,220.47,222.54,222.54,38155100.00
2025-07-10,221.55,222.79,219.70,222.26,222.26,30370600.00
2025-07-11,223.58,226.68,222.37,225.02,225.02,50518300.00
2025-07-14,225.07,226.66,224.24,225.69,225.69,35702600.00
2025-07-15,226.20,227.27,225.46,226.35,226.35,34907300.00
2025-07-16,225.88,226.10,222.18,223.19,223.19,39535900.00
2025-07-17,223.32,224.50,222.51,223.88,223.88,31855800.00
2025-07-18,225.14,226.40,222.98,226.13,226.13,37833800.00
2025-07-21,225.84,229.69,225.65,229.30,229.30,40297600.00
2025-07-22,229.68,230.00,226.35,227.47,227.47,37483700.00
2025-07-23,228.47,228.79,227.09,228.29,228.29,28294900.00
2025-07-24,229.17,236.00,228.64,232.23,232.23,42902300.00
2025-07-25,232.22,232.48,231.18,231.44,231.44,28712100.00
2025-07-28,233.35,234.29,232.25,232.79,232.79,26300100.00
2025-07-29,234.15,234.72,230.31,231.01,231.01,33716200.00
2025-07-30,231.64,231.80,229.29,230.19,230.19,32993300.00
2025-07-31,235.77,236.53,231.40,234.11,234.11,104357300.00
2025-08-01,217.21,220.44,212.80,214.75,214.75,122258800.00
2025-08-04,217.40,217.44,211.42,211.65,211.65,77890100.00
2025-08-05,213.05,216.30,212.87,213.75,213.75,51505100.00
2025-08-06,214.70,222.65,213.74,222.31,222.31,54823000.00
2025-08-07,221.00,226.22,220.82,223.13,223.13,40603500.00
2025-08-08,223.14,223.80,221.88,222.69,222.69,32970500.00
2025-08-11,221.78,223.05,220.40,221.30,221.30,31646200.00
2025-08-12,222.23,223.50,219.05,221.47,221.47,37185800.00
2025-08-13,222.00,224.92,222.00,224.56,224.56,36508300.00
2025-08-14,227.40,233.11,227.02,230.98,230.98,61545800.00
2025-08-15,232.58,234.08,229.81,231.03,231.03,39649200.00
2025-08-18,230.23,231.91,228.33,231.49,231.49,25248900.00
2025-08-19,230.09,230.53,227.12,228.01,228.01,29891000.00
2025-08-20,227.12,227.27,220.92,223.81,223.81,36604300.00
2025-08-21,222.65,222.78,220.50,221.95,221.95,32140500.00
2025-08-22,222.79,229.14,220.82,228.84,228.84,37315300.00
2025-08-25,227.35,229.60,227.31,227.94,227.94,22608200.00
2025-08-26,227.18,228.60,226.02,227.78,227.78,10833962.00
